,airtel,asian,cipla,hcl,hdfc,hindu,icici,infy,itc,kotak,sbi,m&m,ongc,power,reliance,indus,sun,tata,tcs,techm,vedl,lt
2014-05-16,-0.7833956511260267,-0.34212580081970817,-3.233249059512859,-1.6458679618299148,0.1980237851584846,-0.4159897067938046,0.5700023425394317,0.2526556374203595,-0.2791840977596778,-0.4385189382575229,2.1023956194481817,-0.8772780935715528,-1.8365229416216138,-0.8696497147774458,-0.019353032256013886,0.30395886412635165,-3.070278308738679,-0.641040143342308,-1.9552066834814186,-1.4796718772494428,-2.293472016022788,-1.3447870533183717
2014-05-19,-0.6999456547679753,-0.5738770120726088,-3.2078357527234074,-1.9273708127179956,0.29739235383851564,-0.7031558225997608,0.5884521019041675,-0.01260381619478961,-0.9404524844111546,-0.4133391357144565,2.253943782598483,-0.9965958553503523,-0.7351590338570632,-0.7975284681373769,0.05571121382783657,0.15291896557948642,-3.3181355739325156,-0.8670296955030591,-2.3548444293265733,-1.6377127521715593,-2.0359612661264257,-0.9328561702514435
2014-05-20,-0.45074173094410247,-0.5633095123446898,-3.15939688000656,-1.8612004687827168,0.34340028343455475,-0.5896926316365937,0.5323442170081131,0.23462265254766232,-0.9055611276111327,-0.4513031167991763,2.21334295296024,-0.7738794170049463,-1.171566998350845,-0.6066940775152182,-0.14289601491759812,0.042293836451712016,-3.2061904898233573,-0.9034803417187325,-2.291517637192824,-1.5636683247593386,-1.4637370267606995,-0.9896607354606807
2014-05-21,-0.6303592581769661,-0.3364068742592008,-3.1821279383380316,-1.7139179338318176,0.18901581299233175,-0.49416301606089885,0.5201321451705996,0.32066171569717106,-0.8777016874116305,-0.48421971550581877,2.1435364984872494,-0.6583655025868757,-1.1783778810776175,-0.6743479842734182,-0.13829150711941476,0.08396012321442069,-3.353610317609133,-0.8383776044887814,-2.0128093952353576,-1.5842105502294388,-1.2636152072969862,-1.1142910903224652
2014-05-22,-0.8196012070046205,-0.5337079555172363,-3.1411648987144947,-1.7598256885933357,0.10597219697761993,-0.4270564256276105,0.567379794631064,0.24053313255805378,-0.8401733618864097,-0.49704979250378595,2.1932610264962813,-0.6973186462894119,-1.3911252823724662,-0.6309476595645004,-0.0190984976109781,0.12830288477309318,-3.3757787528625016,-1.216080510865872,-1.8716707753956894,-1.568199966486149,-1.0258511861516424,-1.1434091923758478
2014-05-23,-0.6147765605345001,-0.5718961482396754,-3.193500256095475,-1.6930776224998243,-0.1655736766707608,-0.43134576739726227,0.6118315324317484,0.1540355877600353,-0.8993338896183439,-0.5748777935949552,2.4383796167199394,-0.6075989413837574,-0.9700270875827893,-0.1337567683434011,0.1036296890778842,-0.018454654100226286,-3.328231790385571,-1.2591095139039337,-1.8639841911330621,-1.4708218279870215,-0.7214419554716097,-1.1263428886408666
2014-05-26,-0.852178534910422,-0.7534315099057862,-3.3289922233280547,-1.5161103832933203,-0.060405440047881266,-0.5153154822704316,0.605089693537839,0.1921660917570034,-0.884810204641123,-0.6400731207472111,2.3861635965415124,-0.16981691564997675,-0.9445427124319548,-0.2892710562727763,-0.14612606282685128,-0.12936635220043394,-3.352041929236771,-0.9861800728481831,-1.7849462789103299,-1.419729377180218,-0.4314856657461962,-0.9035021250544025
2014-05-27,-0.8671494324289855,-0.9723365041087002,-3.348758294276183,-1.5538246980854222,-0.010047859875410469,-0.7251585942028168,0.5592982884623405,0.24744011661026327,-0.9388477065189719,-0.6034967379088414,2.3108488144640362,-0.3351422741805376,-1.2068630620012613,-0.5022271880644521,-0.21473445990026438,-0.1409808353702932,-3.471267633625631,-1.1490667712756835,-2.0132492492546663,-1.3233214574170855,-0.45809412131055277,-0.9618784501164727
2014-05-28,-0.8692877678211623,-0.9781178127501718,-3.355665932303816,-1.2563446166719516,0.17545133884674252,-0.6328378793236987,0.614905279581516,0.3385814518583862,-0.9911272292466933,-0.6695161274901713,2.2928210060344214,-0.5642822088458669,-1.5468316070962358,-0.6271058259339326,-0.2426273680681196,-0.12422468570291041,-3.4832616033700017,-1.2930406938388195,-1.7928408657996089,-1.240833648559876,-0.5223447785565422,-0.831527399692575
2014-05-29,-0.927033872427677,-1.1628646272124137,-3.454077767393575,-1.4666823123434476,0.02309649119469525,-0.7442155112984713,0.5556003014837498,-0.148176681311684,-1.0091261585468758,-0.6749669285345707,2.28322526776707,-0.46629789108203124,-1.8969281776945552,-0.6887984355548809,-0.29867979101796344,-0.39759840391826917,-3.489642892788627,-1.4263247865655726,-1.8003778500746412,-1.2517808287330603,-0.6334939165862007,-1.0190266184247359
