,airtel,asian,cipla,hcl,hdfc,hindu,icici,infy,itc,kotak,sbi,m&m,ongc,power,reliance,indus,sun,tata,tcs,techm,vedl,lt
count,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0,1056.0
mean,1.9259321468192099,7.683635783131595,-10.289012823337428,-11.661545291371436,-16.047508748679824,-12.619732508468992,11.523895503727346,-44.94283964569527,1.0067505028639292,53.10097107303269,268.9738829167519,16.28534324046666,-0.4011052514760954,-0.12172213198212346,53.25678558523355,-10.891989047933501,4.0548601832032425,0.22433811964309616,4.487796482298375,18.968614737648302,-7.676584706078537,8.717394178824641
std,31.170704342628838,57.087351106074564,55.735148372893875,144.2446548848246,57.47057605212462,49.25584074832973,178.83254581778178,348.04208054364256,18.96116534195949,161.8000392071956,652.2716123277323,111.78219405968711,19.747185661596834,8.704455957204098,136.72110580763734,62.270964373679874,56.419865071267054,40.53697205343052,157.85946295667082,332.8517541740517,27.00869293633315,137.85316835819177
min,-67.61815595768331,-157.54107937463812,-202.80254968053237,-302.84574964778835,-202.97857317350523,-204.63700451614926,-323.41876043116423,-734.2015126094369,-43.074490500513775,-212.3479514811398,-637.2063830859425,-259.34970195021674,-44.32514994563284,-20.260482913566495,-205.5351140256763,-218.71856984543416,-192.83032097483715,-105.5911855306186,-749.4056026600485,-526.1469476558692,-69.62026614491096,-349.6455464884867
25%,-21.47384097444828,-24.77484926426159,-33.69789623830384,-92.02210161057492,-50.37577371852086,-43.10363249992836,-110.5130676852618,-317.98774280259624,-12.994152303848196,-66.70044679386322,-387.85863267265694,-60.681443995331904,-15.090681655433162,-7.620463014226677,-29.752934568068156,-46.32188074992814,-30.287083990576832,-28.935255166324353,-87.96608398687466,-252.01254632632714,-31.133840534344856,-62.140988632269405
50%,-0.8957701921352781,1.8589165495435997,-4.785044565538753,-8.493352761829076,-18.563216559637812,-16.682835182922247,10.246974710566953,-41.27195215008467,1.6433898634171107,19.66771269030349,263.893863010665,15.780563704214913,-2.6887203249636067,0.2176472820109917,49.36790078471468,-7.081484540293857,0.6076979563972351,0.391683082374219,-1.288801848910996,27.10468887933358,-7.403330523470954,-1.7413496941416646
75%,16.57693952062201,45.673970156434926,20.383488740048527,62.04330116665987,25.77629351785822,20.828975495814884,129.2046112261864,166.7166845212647,12.842722260535242,101.67024914204308,286.483630940317,96.26866017080557,10.45426615251702,6.557217173552605,93.76392446517016,29.26226977519105,38.43485556025466,33.35499065934012,89.87316396705143,233.8522454516837,13.602081992429492,73.91249604171848
max,99.88486094569674,180.92300532697962,114.9507490594844,529.2350852125203,121.54893901169531,118.6063194777003,625.818540084689,1162.6974116857089,55.92908005226582,496.64974803618395,2036.4081176938375,327.8206584393488,73.18692759066928,22.49826022402737,512.4126470688997,141.942894584207,196.409317881973,97.85858146098305,573.7853672670649,983.3121190046573,56.696020858843625,426.11054811841603
